x	 y1 y2  y3	y4
0	134	0	134	0
80	121	7	121	7
160	38	17	38	19
240	5	20	5	21
320	33	16	33	18
400	66	12	66	13
480	70	13	70	15
560	75	15	43	16
640	47	18	43	17
720	48	18	43	16
800	48	17	75	15
880	48	16	47	16
960	80	15	48	18
1040	52	17	48	17
1120	52	19	48	16
1200	52	17	48	16
1280	52	17	48	16
1360	52	17	80	15
1440	52	17	52	18
1520	52	17	52	19
1600	52	16	52	18
1680	52	16	52	18
1760	52	16	52	18
1840	52	16	52	18
1920	52	16	52	18
2000	52	16	52	17
2080	52	16	52	18
2160	52	16	52	17
2240	52	16	52	17
2320	85	15	52	17
2400	57	18	52	18
2480	25	20	52	17
2560	52	17	52	17
2640	52	16	52	17
2720	52	16	52	18
2800	52	16	52	17
2880	85	15	52	17
2960	57	18	52	17
3040	25	20	52	18
3120	52	18	52	17
3200	85	15	52	17
3280	57	18	52	17
3360	25	20	52	18
3440	52	18	52	17
3520	85	15	52	17
3600	57	18	52	18
3680	25	20	52	17
3760	52	18	52	17
3840	85	15	52	18
3920	57	18	52	17
4000	25	20	52	18
4080	52	18	52	17
4160	52	16	52	18
4240	52	16	52	17
4320	52	16	52	18
4400	52	16	52	17
4480	85	15	52	17
4560	57	18	52	18
4640	25	20	52	17
4720	52	18	52	18
4800	52	16	52	17
4880	52	16	52	17
4960	52	16	52	18
5040	52	16	52	17
5120	52	16	52	18
5200	52	16	52	17
5280	52	16	52	18
5360	52	16	52	17
5440	52	16	52	18
5520	52	16	52	17
5600	52	16	52	18
5680	52	16	52	17
5760	52	16	52	18
5840	52	16	52	17
5920	52	16	52	18
6000	52	16	52	17
6080	52	16	52	17
6160	52	16	52	18
6240	52	16	52	17
6320	52	16	52	18
6400	52	16	52	17
6480	52	16	52	18
6560	52	16	52	17
6640	52	16	52	18
6720	52	16	52	17
6800	52	16	52	18
6880	52	16	52	17
6960	52	16	52	18
7040	52	16	52	18
7120	52	17	52	17
7200	52	16	52	18
7280	52	16	52	17
7360	52	16	52	18
7440	52	16	52	17
7520	52	16	52	18
7600	52	16	52	17
7680	52	16	52	18
7760	52	16	52	17
7840	52	16	52	18
7920	52	16	52	18
8000	52	16	52	17
8080	52	16	52	18
8160	52	16	52	17
8240	52	16	52	18
8320	52	16	52	17
8400	52	16	52	18
8480	52	17	52	18
8560	52	16	52	17
8640	52	16	52	18
8720	52	16	52	17
8800	52	16	52	18
8880	52	16	52	17
8960	52	16	52	18
9040	52	16	52	17
9120	52	16	52	18
9200	52	16	52	18
9280	52	16	52	17
9360	52	16	52	18
